iter	Passed	Remaining
0	15	15048
1	22	11457
2	36	12130
3	46	11702
4	59	11826
5	76	12646
6	85	12068
7	96	11929
8	108	11974
9	119	11853
10	136	12264
11	164	13537
12	177	13496
13	191	13487
14	207	13617
15	215	13261
16	224	13007
17	237	12951
18	245	12680
19	256	12560
20	269	12558
21	301	13417
22	310	13175
23	319	13000
24	333	13021
25	342	12848
26	353	12736
27	370	12866
28	382	12793
29	393	12715
30	408	12758
31	417	12619
32	427	12540
33	442	12582
34	451	12453
35	462	12382
36	474	12352
37	483	12247
38	494	12182
39	504	12116
40	526	12325
41	538	12292
42	549	12233
43	567	12339
44	580	12316
45	588	12201
46	600	12170
47	620	12305
48	631	12257
49	648	12312
50	656	12219
51	669	12206
52	684	12230
53	695	12183
54	704	12102
55	716	12074
56	746	12345
57	756	12290
58	765	12209
59	793	12426
60	803	12371
61	817	12372
62	831	12372
63	843	12329
64	856	12314
65	871	12333
66	883	12303
67	892	12238
68	906	12237
69	917	12193
70	928	12153
71	939	12107
72	951	12079
73	960	12023
74	968	11948
75	993	12079
76	1003	12024
77	1013	11976
78	1023	11936
79	1031	11865
80	1043	11834
81	1051	11772
82	1071	11841
83	1081	11792
84	1091	11753
85	1105	11744
86	1114	11695
87	1126	11677
88	1146	11737
89	1158	11717
90	1169	11677
91	1178	11631
92	1190	11609
93	1202	11585
94	1210	11533
95	1226	11551
96	1238	11529
97	1248	11493
98	1259	11459
99	1270	11437
100	1282	11416
101	1296	11413
102	1304	11357
103	1312	11311
104	1321	11265
105	1352	11408
106	1362	11371
107	1370	11322
108	1383	11305
109	1396	11299
110	1405	11254
111	1426	11306
112	1447	11361
113	1459	11346
114	1467	11295
115	1476	11254
116	1487	11229
117	1496	11183
118	1507	11160
119	1517	11128
120	1525	11081
121	1536	11055
122	1547	11030
123	1555	10986
124	1566	10964
125	1574	10922
126	1584	10893
127	1596	10877
128	1604	10832
129	1628	10901
130	1637	10865
131	1647	10835
132	1661	10831
133	1669	10787
134	1679	10760
135	1687	10717
136	1711	10780
137	1732	10818
138	1751	10849
139	1762	10826
140	1792	10917
141	1812	10950
142	1822	10923
143	1839	10932
144	1863	10989
145	1875	10971
146	1885	10938
147	1905	10970
148	1919	10960
149	1926	10918
150	1950	10966
151	1963	10956
152	1973	10923
153	1986	10910
154	1998	10897
155	2008	10863
156	2020	10847
157	2032	10831
158	2058	10889
159	2066	10850
160	2077	10828
161	2085	10789
162	2111	10843
163	2119	10803
164	2129	10778
165	2139	10746
166	2147	10713
167	2160	10697
168	2170	10673
169	2210	10791
170	2222	10776
171	2236	10764
172	2263	10818
